[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000178 0x00000178 5   6            ascii   .text
2     0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3     0x000001c7 0x000001c7 7   8            ascii   @.reloc
4     0x0000048b 0x0040208b 4   5    .text   ascii   p\nr5
5     0x000004a6 0x004020a6 4   5    .text   ascii   \n\vrO
6     0x000004ce 0x004020ce 4   5    .text   ascii   \n\r\to
7     0x000004db 0x004020db 4   5    .text   ascii   \n&\to
8     0x00000ae3 0x004026e3 5   6    .text   ascii   \n*2r1
9     0x00000aef 0x004026ef 4   5    .text   ascii   \n&*2
10    0x00000bf2 0x004027f2 4   5    .text   ascii   _\v~\f
11    0x00000c0d 0x0040280d 4   5    .text   ascii   _aoK
12    0x00000c64 0x00402864 5   6    .text   ascii   \b%-\a&
13    0x00000c78 0x00402878 4   5    .text   ascii   \f\toR
14    0x00000cad 0x004028ad 4   5    .text   ascii   \n, \b
15    0x00000d7c 0x0040297c 4   5    .text   ascii   \ba~\f
16    0x00000e90 0x00402a90 4   5    .text   ascii   \ni(l
17    0x0000114a 0x00402d4a 4   5    .text   ascii   \f\bou
18    0x000020de 0x00403cde 4   5    .text   ascii   PAs3
19    0x000021fd 0x00403dfd 5   6    .text   ascii   \n\v+fs
20    0x00002205 0x00403e05 5   6    .text   ascii   \n\f\b\ar
21    0x00002237 0x00403e37 4   5    .text   ascii   \n&\bo
22    0x00002265 0x00403e65 4   5    .text   ascii   \n&\ao
23    0x00002715 0x00404315 4   5    .text   ascii   PAs3
24    0x0000282a 0x0040442a 4   5    .text   ascii   \nr]\b
25    0x00002841 0x00404441 4   5    .text   ascii   \n\v8*
26    0x0000284c 0x0040444c 5   6    .text   ascii   \n\f\b\ar
27    0x0000287e 0x0040447e 4   5    .text   ascii   \n&\bo
28    0x0000289a 0x0040449a 4   5    .text   ascii   \n&\bo
29    0x000028b6 0x004044b6 4   5    .text   ascii   \n&\bo
30    0x000028d2 0x004044d2 4   5    .text   ascii   \n&\bo
31    0x000028ee 0x004044ee 4   5    .text   ascii   \n&\bo
32    0x0000290a 0x0040450a 4   5    .text   ascii   \n&\bo
33    0x00002926 0x00404526 4   5    .text   ascii   \n&\bo
34    0x00002942 0x00404542 4   5    .text   ascii   \n&\bo
35    0x00002970 0x00404570 4   5    .text   ascii   \n&\ao
36    0x00002cc2 0x004048c2 4   5    .text   ascii   \nrs\n
37    0x00002cd9 0x004048d9 4   5    .text   ascii   \nr{\n
38    0x00002d34 0x00404934 4   5    .text   ascii   \n\v\ao
39    0x00002d7f 0x0040497f 4   5    .text   ascii   \n\f\bo
40    0x00002dba 0x004049ba 4   5    .text   ascii   \nr\v\v
41    0x00002dca 0x004049ca 4   5    .text   ascii   \n\r\to
42    0x00002dee 0x004049ee 4   5    .text   ascii   \nr3\v
43    0x00002e05 0x00404a05 4   5    .text   ascii   \nr;\v
44    0x00002e3b 0x00404a3b 4   5    .text   ascii   \nrc\v
45    0x00002e52 0x00404a52 4   5    .text   ascii   \nrk\v
46    0x00002fee 0x00404bee 4   5    .text   ascii   \nr'\f
47    0x0000301a 0x00404c1a 4   5    .text   ascii   \n\v8*
48    0x00003025 0x00404c25 5   6    .text   ascii   \n\f\b\ar
49    0x00003057 0x00404c57 4   5    .text   ascii   \n&\bo
50    0x00003073 0x00404c73 4   5    .text   ascii   \n&\bo
51    0x0000308f 0x00404c8f 4   5    .text   ascii   \n&\bo
52    0x000030ab 0x00404cab 4   5    .text   ascii   \n&\bo
53    0x000030c7 0x00404cc7 4   5    .text   ascii   \n&\bo
54    0x000030e3 0x00404ce3 4   5    .text   ascii   \n&\bo
55    0x000030ff 0x00404cff 4   5    .text   ascii   \n&\bo
56    0x0000311b 0x00404d1b 4   5    .text   ascii   \n&\bo
57    0x00003149 0x00404d49 4   5    .text   ascii   \n&\ao
58    0x00004b09 0x00406709 4   5    .text   ascii   PAs3
59    0x00004c11 0x00406811 4   5    .text   ascii   \n\v+5
60    0x00004c2a 0x0040682a 4   5    .text   ascii   \nr#\f
61    0x00004c67 0x00406867 4   5    .text   ascii   \nrs\n
62    0x00004c9e 0x0040689e 4   5    .text   ascii   \n\f\bo
63    0x00004ca5 0x004068a5 4   5    .text   ascii   \n\r+5
64    0x00004cbe 0x004068be 4   5    .text   ascii   \nr#\f
65    0x00004d56 0x00406956 4   5    .text   ascii   \nr#\f
66    0x00004df0 0x004069f0 4   5    .text   ascii   \nr#\f
67    0x00004e8a 0x00406a8a 4   5    .text   ascii   \nr#\f
68    0x00004ec9 0x00406ac9 4   5    .text   ascii   \nr3\v
69    0x00004f24 0x00406b24 4   5    .text   ascii   \nr#\f
70    0x00004f63 0x00406b63 4   5    .text   ascii   \nrc\v
71    0x00004fbe 0x00406bbe 4   5    .text   ascii   \nr#\f
72    0x00005058 0x00406c58 4   5    .text   ascii   \nr#\f
73    0x000050f2 0x00406cf2 4   5    .text   ascii   \nr#\f
74    0x0000572b 0x0040732b 4   5    .text   ascii   PAs3
75    0x00005895 0x00407495 5   6    .text   ascii   \n\v+fs
76    0x0000589d 0x0040749d 6   7    .text   ascii   \n\f\b\ar\r
77    0x000058cf 0x004074cf 4   5    .text   ascii   \n&\bo
78    0x000058d6 0x004074d6 4   5    .text   ascii   \n\ar%
79    0x000058fd 0x004074fd 4   5    .text   ascii   \n&\ao
80    0x00005951 0x00407551 5   6    .text   ascii   \n\v+fs
81    0x00005959 0x00407559 6   7    .text   ascii   \n\f\b\arg
82    0x00005976 0x00407576 4   5    .text   ascii   \n\ar{
83    0x0000598b 0x0040758b 4   5    .text   ascii   \n&\bo
84    0x000059b9 0x004075b9 4   5    .text   ascii   \n&\ao
85    0x00006723 0x00408323 4   5    .text   ascii   PAs3
86    0x00006d03 0x00408903 4   5    .text   ascii   \n*2r
87    0x00006d40 0x00408940 5   6    .text   ascii   \n\f\b\a(
88    0x00006e1b 0x00408a1b 4   5    .text   ascii   \nrs\a
89    0x00006e33 0x00408a33 4   5    .text   ascii   \frs\a
90    0x00006ef9 0x00408af9 4   5    .text   ascii   \n\v+5
91    0x00006f12 0x00408b12 4   5    .text   ascii   \nr#\f
92    0x00006f4f 0x00408b4f 4   5    .text   ascii   \nrs\n
93    0x00006f92 0x00408b92 4   5    .text   ascii   \n\f\bo
94    0x00006f99 0x00408b99 4   5    .text   ascii   \n\r+5
95    0x00006fb2 0x00408bb2 4   5    .text   ascii   \nr#\f
96    0x00007056 0x00408c56 4   5    .text   ascii   \nr#\f
97    0x000070fc 0x00408cfc 4   5    .text   ascii   \nr#\f
98    0x000071a2 0x00408da2 4   5    .text   ascii   \nr#\f
99    0x000071e1 0x00408de1 4   5    .text   ascii   \nr3\v
100   0x00007248 0x00408e48 4   5    .text   ascii   \nr#\f
101   0x00007287 0x00408e87 4   5    .text   ascii   \nrc\v
102   0x000072ee 0x00408eee 4   5    .text   ascii   \nr#\f
103   0x00007394 0x00408f94 4   5    .text   ascii   \nr#\f
104   0x0000743a 0x0040903a 4   5    .text   ascii   \nr#\f
105   0x00008ba3 0x0040a7a3 4   5    .text   ascii   PAs3
106   0x00008d5b 0x0040a95b 4   5    .text   ascii   \nXY\v
107   0x00008d8a 0x0040a98a 4   5    .text   ascii   \nrr\e
108   0x00008da1 0x0040a9a1 4   5    .text   ascii   \n\v+\e
109   0x00008ded 0x0040a9ed 4   5    .text   ascii   \n\f\bo
110   0x00008df4 0x0040a9f4 4   5    .text   ascii   \n\r+\e
111   0x00009aa9 0x0040b6a9 4   5    .text   ascii   PAs3
112   0x00009c57 0x0040b857 4   5    .text   ascii   \n*Z(
113   0x00009ce7 0x0040b8e7 4   5    .text   ascii   *V([
114   0x00009d0b 0x0040b90b 5   6    .text   ascii   \n*Vsa
115   0x00009d22 0x0040b922 4   5    .text   ascii   *.sd
116   0x00009d4c 0x0040b94c 4   5    .text   ascii   BSJB
117   0x00009d5c 0x0040b95c 10  11   .text   ascii   v4.0.30319
118   0x00009d80 0x0040b980 8   9    .text   ascii   #Strings
119   0x00009da0 0x0040b9a0 5   6    .text   ascii   #GUID
120   0x00009db0 0x0040b9b0 5   6    .text   ascii   #Blob
121   0x00009de0 0x0040b9e0 5   24   .text   utf32le f~ã\b\r
122   0x0000b659 0x0040d259 7   8    .text   ascii   label10
123   0x0000b661 0x0040d261 8   9    .text   ascii   button10
124   0x0000b66a 0x0040d26a 14  15   .text   ascii   columnHeader10
125   0x0000b679 0x0040d279 15  16   .text   ascii   <.cctor>b__38_0
126   0x0000b689 0x0040d289 9   10   .text   ascii   <>9__19_0
127   0x0000b693 0x0040d293 23  24   .text   ascii   <NebulousHarbor>b__19_0
128   0x0000b6ab 0x0040d2ab 9   10   .text   ascii   BtnOda101
129   0x0000b6b5 0x0040d2b5 7   8    .text   ascii   label11
130   0x0000b6bd 0x0040d2bd 8   9    .text   ascii   button11
131   0x0000b6c6 0x0040d2c6 14  15   .text   ascii   columnHeader11
132   0x0000b6d5 0x0040d2d5 15  16   .text   ascii   button4_Click_1
133   0x0000b6e5 0x0040d2e5 6   7    .text   ascii   Func`1
134   0x0000b6ec 0x0040d2ec 13  14   .text   ascii   IEnumerable`1
135   0x0000b6fa 0x0040d2fa 13  14   .text   ascii   ThreadLocal`1
136   0x0000b708 0x0040d308 6   7    .text   ascii   List`1
137   0x0000b70f 0x0040d30f 10  11   .text   ascii   linkLabel1
138   0x0000b71a 0x0040d31a 6   7    .text   ascii   label1
139   0x0000b721 0x0040d321 10  12   .text   utf8    Lblalınan1
140   0x0000b72d 0x0040d32d 7   8    .text   ascii   button1
141   0x0000b735 0x0040d335 13  14   .text   ascii   LblFaturalar1
142   0x0000b743 0x0040d343 13  14   .text   ascii   columnHeader1
143   0x0000b751 0x0040d351 6   7    .text   ascii   timer1
144   0x0000b758 0x0040d358 11  12   .text   ascii   webBrowser1
145   0x0000b764 0x0040d364 21  22   .text   ascii   axWindowsMediaPlayer1
146   0x0000b77a 0x0040d37a 15  17   .text   utf8    Pansiyon_kayıt1
147   0x0000b78b 0x0040d38b 9   10   .text   ascii   listView1
148   0x0000b795 0x0040d395 9   10   .text   ascii   comboBox1
149   0x0000b79f 0x0040d39f 9   10   .text   ascii   groupBox1
150   0x0000b7a9 0x0040d3a9 12  13   .text   ascii   richTextBox1
151   0x0000b7b6 0x0040d3b6 8   9    .text   ascii   textBox1
152   0x0000b7bf 0x0040d3bf 9   10   .text   ascii   BtnOda102
153   0x0000b7c9 0x0040d3c9 7   8    .text   ascii   label12
154   0x0000b7d1 0x0040d3d1 8   9    .text   ascii   button12
155   0x0000b7da 0x0040d3da 7   8    .text   ascii   ToInt32
156   0x0000b7e2 0x0040d3e2 6   7    .text   ascii   Func`2
157   0x0000b7e9 0x0040d3e9 10  11   .text   ascii   linkLabel2
158   0x0000b7f4 0x0040d3f4 6   7    .text   ascii   label2
159   0x0000b7fb 0x0040d3fb 10  12   .text   utf8    Lblalınan2
160   0x0000b807 0x0040d407 7   8    .text   ascii   button2
